Model,Result,FPS
k_real_efficientnetb0_performance_cascade_plus4x_uuid_cc60ed38-c01a-11ee-87fc-a3bdde689303, PASS, 660.2520550705383
k_real_expression_vgg13_performance_cascade_plus4x_uuid_aa520a8a-c018-11ee-87fc-a3bdde689303, PASS, 661.5099755539784
k_real_mobilenetv2_performance_cascade_plus4x_uuid_23b36b18-c022-11ee-87fc-a3bdde689303, PASS, 1024.0525026917885
k_real_unet_lane_performance_cascade_plus4x_uuid_578e3854-c037-11ee-87fc-a3bdde689303, PASS, 365.3151681904448
k_real_mobilenetv3_large_minimalistic_performance_cascade_plus4x_uuid_dd719a04-c025-11ee-87fc-a3bdde689303, PASS, 970.9059511711832
k_real_mobilenetv3_large_performance_cascade_plus4x_uuid_d9b1f63c-c018-11ee-87fc-a3bdde689303, PASS, 990.0726095043858
k_real_mobilenetv3_small_minimalistic_performance_cascade_plus4x_uuid_cdb98316-c02e-11ee-87fc-a3bdde689303, PASS, 1021.6653350741469
k_real_mobilenetv3_small_performance_cascade_plus4x_uuid_4d85f876-c049-11ee-87fc-a3bdde689303, PASS, 1003.4076065893792
k_real_nvidia_super_res_performance_cascade_plus4x_uuid_d44b7eb2-c03f-11ee-87fc-a3bdde689303, PASS, 34.2015722613225
k_real_pspnet_performance_cascade_plus4x_uuid_fa828dee-c046-11ee-87fc-a3bdde689303, PASS, 116.54703446252203
k_real_resnet34_v1_performance_cascade_plus4x_uuid_9adcedd4-c029-11ee-87fc-a3bdde689303, PASS, 949.1286707051872
k_real_resnet50_performance_cascade_plus4x_uuid_1860c886-c032-11ee-87fc-a3bdde689303, PASS, 880.1762743164124
k_real_resnet50_v2_performance_cascade_plus4x_uuid_6aed442e-c039-11ee-87fc-a3bdde689303, PASS, 654.3294311459451
k_real_speech_enhancement_unet_performance_cascade_plus4x_uuid_5a96ddc2-c027-11ee-87fc-a3bdde689303, PASS, 1300.8255953156304
k_real_squeezenet_bypass_performance_cascade_plus4x_uuid_f30b99ba-c01f-11ee-87fc-a3bdde689303, PASS, 756.15553247952
k_real_squeezenet_complex_performance_cascade_plus4x_uuid_82bb3d86-c03e-11ee-87fc-a3bdde689303, PASS, 665.9855919998603
k_real_squeezenet_performance_cascade_plus4x_uuid_d2b83ad4-c037-11ee-87fc-a3bdde689303, PASS, 983.6409431386988
k_real_unetplusplus_performance_cascade_plus4x_uuid_ccd4c654-c047-11ee-87fc-a3bdde689303, PASS, 256.75849065843926
k_real_efficientnetb1_performance_cascade_plus4x_uuid_31bca82c-c023-11ee-87fc-a3bdde689303, PASS, 679.7491884603354
k_real_efficientnetv2b0_performance_cascade_plus4x_uuid_da9c6c5c-c041-11ee-87fc-a3bdde689303, PASS, 838.8842887600853
k_real_efficientnetv2b1_performance_cascade_plus4x_uuid_0c92847e-c03a-11ee-87fc-a3bdde689303, PASS, 786.7835939185323
k_real_efficientnetv2b2_performance_cascade_plus4x_uuid_a53d4e18-c033-11ee-87fc-a3bdde689303, PASS, 617.2996202866983
k_real_efficientnetv2b3_performance_cascade_plus4x_uuid_eb2ebe72-c022-11ee-87fc-a3bdde689303, PASS, 426.0910553776636
k_real_espcn_performance_cascade_plus4x_uuid_aa520eea-c018-11ee-87fc-a3bdde689303, PASS, 119.39583368916064
k_real_unet_mobilenet_performance_cascade_plus4x_uuid_517ed81c-c026-11ee-87fc-a3bdde689303, PASS, 257.4200208425138
k_real_unet_performance_cascade_plus4x_uuid_0498e914-c03c-11ee-87fc-a3bdde689303, PASS, 268.47892810803927
k_real_unet_ultrasound_performance_cascade_plus4x_uuid_d5301ab8-c049-11ee-87fc-a3bdde689303, PASS, 570.6668045383362
k_real_xception_performance_cascade_plus4x_uuid_5dd6d6c6-c019-11ee-87fc-a3bdde689303, PASS, 314.0236511400688
k_real_yolo3_mobilenet_lite_416_coco_performance_cascade_plus4x_uuid_e22f3b1e-c020-11ee-87fc-a3bdde689303, PASS, 33.92555038072482
k_real_yolov1_tiny_performance_cascade_plus4x_uuid_81663732-c03f-11ee-87fc-a3bdde689303, PASS, 329.43087361971476
k_real_yolov3_tiny_performance_cascade_plus4x_uuid_69abf2b6-c022-11ee-87fc-a3bdde689303, PASS, 249.81336827528702
k_real_chess_alphazero_community_performance_cascade_plus4x_uuid_7d42e8e8-c027-11ee-87fc-a3bdde689303, PASS, 2170.403104786546
k_real_colornet_performance_cascade_plus4x_uuid_dbf26c7e-c01d-11ee-87fc-a3bdde689303, PASS, 62.975088506317846
