Model,Result,FPS
k_real_chess_alphazero_community_performance_cascade_plus4x_uuid_7d42e8e8-c027-11ee-87fc-a3bdde689303, PASS, 2204.337931940612
k_real_colornet_performance_cascade_plus4x_uuid_dbf26c7e-c01d-11ee-87fc-a3bdde689303, PASS, 86.67018639765176
k_real_dce_performance_cascade_plus4x_uuid_5ddc71b0-c034-11ee-87fc-a3bdde689303, PASS, 89.8737765656435
k_real_deblur_gan_performance_cascade_plus4x_uuid_93a0ffae-c035-11ee-87fc-a3bdde689303, PASS, 25.973661495079018
k_real_deep_q_atari_breakout_performance_cascade_plus4x_uuid_48a0fd7c-c019-11ee-87fc-a3bdde689303, PASS, 2858.9080498943495
k_real_densenet121_performance_cascade_plus4x_uuid_cfb55128-c01e-11ee-87fc-a3bdde689303, PASS, 749.4994764248214
k_real_efficientnetb0_performance_cascade_plus4x_uuid_cc60ed38-c01a-11ee-87fc-a3bdde689303, PASS, 604.6044049027931
k_real_efficientnetb1_performance_cascade_plus4x_uuid_31bca82c-c023-11ee-87fc-a3bdde689303, PASS, 631.4088851488159
k_real_efficientnetv2b0_performance_cascade_plus4x_uuid_da9c6c5c-c041-11ee-87fc-a3bdde689303, PASS, 808.1090193766413
k_real_efficientnetv2b1_performance_cascade_plus4x_uuid_0c92847e-c03a-11ee-87fc-a3bdde689303, PASS, 722.3239441470857
k_real_efficientnetv2b2_performance_cascade_plus4x_uuid_a53d4e18-c033-11ee-87fc-a3bdde689303, PASS, 545.243762455265
k_real_efficientnetv2b3_performance_cascade_plus4x_uuid_eb2ebe72-c022-11ee-87fc-a3bdde689303, PASS, 408.9135523471828
k_real_espcn_performance_cascade_plus4x_uuid_aa520eea-c018-11ee-87fc-a3bdde689303, PASS, 119.45830128025295
k_real_expression_vgg13_performance_cascade_plus4x_uuid_aa520a8a-c018-11ee-87fc-a3bdde689303, PASS, 661.2742717681261
k_real_googlenet_performance_cascade_plus4x_uuid_ae234ce0-c02d-11ee-87fc-a3bdde689303, PASS, 980.5847078214315
k_real_inceptionv2_performance_cascade_plus4x_uuid_225bd37a-c04c-11ee-87fc-a3bdde689303, PASS, 805.9304805641489
k_real_inceptionv3_performance_cascade_plus4x_uuid_f6e67e3a-c027-11ee-87fc-a3bdde689303, PASS, 425.3327424672176
