Model,Result,FPS
k_real_centernet_resnet_512_performance_cascade_plus6x_uuid_14de6b68-cbaf-11ee-b91b-53d141cbab09, PASS, 71.40007718275784
k_real_chess_alphazero_community_performance_cascade_plus_uuid_9b686b34-cbaf-11ee-b91b-53d141cbab09, PASS, 2537.4043400141563
k_real_colornet_performance_cascade_plus4x_uuid_da78d666-cbae-11ee-b91b-53d141cbab09, PASS, 119.33893186024643
k_real_dce_performance_cascade_plus_uuid_d7cf82a2-cbae-11ee-b91b-53d141cbab09, PASS, 169.0890253292643
k_real_deblur_gan_performance_cascade_plus2x_uuid_80b67de4-cbaf-11ee-b91b-53d141cbab09, PASS, 29.82657537295628
k_real_deep_q_atari_breakout_performance_cascade_plus_uuid_79541bee-cbc1-11ee-b91b-53d141cbab09, PASS, 2253.185065807145
k_real_densenet121_performance_cascade_plus4x_uuid_7ab1dce2-cbb7-11ee-b91b-53d141cbab09, PASS, 758.2346741580752
k_real_densenet169_performance_cascade_plus6x_uuid_3e0e4250-cbbf-11ee-b91b-53d141cbab09, PASS, 487.24348675627857
k_real_densenet201_performance_cascade_plus8x_uuid_5bd0b4a0-cbc2-11ee-b91b-53d141cbab09, PASS, 221.26582946251705
k_real_efficientnetb0_performance_cascade_plus2x_uuid_2a5ef56c-cbb3-11ee-b91b-53d141cbab09, PASS, 920.7121062451981
k_real_efficientnetb1_performance_cascade_plus4x_uuid_1bc0e326-cbb3-11ee-b91b-53d141cbab09, PASS, 762.7491166463294
k_real_mobilenetv1_performance_cascade_plus_uuid_50dd8898-cbc2-11ee-b91b-53d141cbab09, PASS, 1389.5371526823014
k_real_mobilenetv2_performance_cascade_plus_uuid_c770a7ec-cbae-11ee-b91a-53d141cbab09, PASS, 1364.0811494656598
k_real_mobilenetv3_large_minimalistic_performance_cascade_plus_uuid_05698614-cbb3-11ee-b91b-53d141cbab09, PASS, 1372.1314585936836
k_real_mobilenetv3_large_performance_cascade_plus4x_uuid_75def22a-cbb4-11ee-b91b-53d141cbab09, PASS, 1293.7476480422458
k_real_mobilenetv3_small_minimalistic_performance_cascade_plus_uuid_1ec11f6c-cbbf-11ee-b91b-53d141cbab09, PASS, 1368.219421174874
k_real_mobilenetv3_small_performance_cascade_plus2x_uuid_07a7f4f0-cbb9-11ee-b91b-53d141cbab09, PASS, 1348.8242860818111
k_real_nvidia_super_res_performance_cascade_plus_uuid_e12ccd1e-cbb3-11ee-b91b-53d141cbab09, PASS, 68.78440816077526
k_real_pix2depth_performance_cascade_plus8x_uuid_7a47574c-cbb1-11ee-b91b-53d141cbab09, PASS, 86.89551499160112
k_real_resnet34_v1_performance_cascade_plus4x_uuid_beb52ab2-cbb1-11ee-b91b-53d141cbab09, PASS, 1203.6307181946274
k_real_efficientnetv2b0_performance_cascade_plus4x_uuid_4925d86c-cbb3-11ee-b91b-53d141cbab09, PASS, 1049.2212710817153
k_real_mobilenetv1_0p75_performance_cascade_plus_uuid_eddc961a-cbaf-11ee-b91b-53d141cbab09, PASS, 1608.0789182101546
k_real_resnet50_performance_cascade_plus4x_uuid_58595eea-cbb7-11ee-b91b-53d141cbab09, PASS, 944.12933229188
k_real_yolo3_mobilenet_lite_416_coco_performance_cascade_plus2x_uuid_052b7468-cbaf-11ee-b91b-53d141cbab09, PASS, 167.27601932667707
k_real_yolov1_tiny_performance_cascade_plus_uuid_66fe7fda-cbb1-11ee-b91b-53d141cbab09, PASS, 443.34392813994026
k_real_yolov3_tiny_performance_cascade_plus_uuid_14bda43c-cbb9-11ee-b91b-53d141cbab09, PASS, 471.9382496568175
k_real_efficientnetv2b1_performance_cascade_plus4x_uuid_c770a814-cbae-11ee-b91b-53d141cbab09, PASS, 881.0915163800981
k_real_efficientnetv2b2_performance_cascade_plus4x_uuid_302d9e84-cbb4-11ee-b91b-53d141cbab09, PASS, 715.0145583732808
k_real_efficientnetv2b3_performance_cascade_plus4x_uuid_e8a4bb5c-cbb7-11ee-b91b-53d141cbab09, PASS, 487.20669819999813
k_real_espcn_performance_cascade_plus_uuid_5593a36a-cbc0-11ee-b91b-53d141cbab09, PASS, 119.36759680696323
k_real_expression_vgg13_performance_cascade_plus_uuid_22d12b90-cbc1-11ee-b91b-53d141cbab09, PASS, 695.2234615110483
k_real_googlenet_performance_cascade_plus2x_uuid_3d99e7a8-cbbe-11ee-b91b-53d141cbab09, PASS, 1086.3455177897554
k_real_inceptionv2_performance_cascade_plus4x_uuid_76a78314-cbb1-11ee-b91b-53d141cbab09, PASS, 893.3288464241748
k_real_inceptionv3_performance_cascade_plus4x_uuid_741cafe2-cbb7-11ee-b91b-53d141cbab09, PASS, 436.97813079847435
k_real_jumpnet_101_performance_cascade_plus4x_uuid_f1072efc-cbc0-11ee-b91b-53d141cbab09, PASS, 195.33184213823034
k_real_jumpnet_152_performance_cascade_plus6x_uuid_5587b20c-cbb7-11ee-b91b-53d141cbab09, PASS, 54.59465883219373
k_real_jumpnet_performance_cascade_plus2x_uuid_7e70bdea-cbc0-11ee-b91b-53d141cbab09, PASS, 534.8649544747379
k_real_linknet_resnet18_performance_cascade_plus6x_uuid_3d8ad0d2-cbb5-11ee-b91b-53d141cbab09, PASS, 52.159215096772336
k_real_mbllen_lowlight_with_noise_performance_cascade_plus4x_uuid_4c6906bc-cbb2-11ee-b91b-53d141cbab09, PASS, 12.738320916395324
k_real_mobilenetv1_0p25_performance_cascade_plus_uuid_9b29574a-cbb0-11ee-b91b-53d141cbab09, PASS, 2231.190786498923
k_real_mobilenetv1_0p50_performance_cascade_plus_uuid_4a73416a-cbb2-11ee-b91b-53d141cbab09, PASS, 1754.6012064623546
k_real_resnet50_v2_performance_cascade_plus4x_uuid_7de685f8-cbb6-11ee-b91b-53d141cbab09, PASS, 654.6490920016545
k_real_squeezenet_bypass_performance_cascade_plus_uuid_f1ccaaa8-cbbe-11ee-b91b-53d141cbab09, PASS, 1115.2305413820518
k_real_squeezenet_complex_performance_cascade_plus_uuid_c770a6fc-cbae-11ee-b918-53d141cbab09, PASS, 883.6569030428544
k_real_squeezenet_performance_cascade_plus_uuid_6b6fd5f4-cbb2-11ee-b91b-53d141cbab09, PASS, 1475.3195590542318
k_real_unetplusplus_performance_cascade_plus4x_uuid_f0223afe-cbb1-11ee-b91b-53d141cbab09, PASS, 297.90148797897655
k_real_unet_ultrasound_performance_cascade_plus2x_uuid_74945f52-cbb6-11ee-b91b-53d141cbab09, PASS, 1202.3058290693841
k_real_xception_performance_cascade_plus4x_uuid_e93bd008-cbaf-11ee-b91b-53d141cbab09, PASS, 313.40021310267633
onnx_real_yolov7_tiny_416_performance_cascade_plus2x_uuid_282a6be8-cbb1-11ee-b91b-53d141cbab09, PASS, 417.1498418147985
onnx_real_yolov7_tiny_640_performance_cascade_plus2x_uuid_eaf06d4c-cbb8-11ee-b91b-53d141cbab09, PASS, 153.93274426702644
onnx_real_yolox_m_416x416_ti_lite_performance_cascade_plus4x_uuid_11ff3dfc-cbc1-11ee-b91b-53d141cbab09, PASS, 148.83023795499224
onnx_real_yolox_m_performance_cascade_plus4x_uuid_1f6e9b8a-cbc2-11ee-b91b-53d141cbab09, PASS, 62.3152740098473
onnx_real_yolox_m_ti_lite_performance_cascade_plus4x_uuid_d4f240e6-cbaf-11ee-b91b-53d141cbab09, PASS, 93.61100949946737
onnx_real_yolox_nano_performance_cascade_plus2x_uuid_e413a96a-cbb0-11ee-b91b-53d141cbab09, PASS, 458.1145050340885
onnx_real_yolox_nano_ti_lite_performance_cascade_plus2x_uuid_6c66d0f4-cbb0-11ee-b91b-53d141cbab09, PASS, 441.5140497398898
onnx_real_yolox_s_416x416_ti_lite_performance_cascade_plus2x_uuid_9d1b93fe-cbc1-11ee-b91b-53d141cbab09, PASS, 468.3521207756171
onnx_real_yolox_s_performance_cascade_plus2x_uuid_cae10e0e-cbb2-11ee-b91b-53d141cbab09, PASS, 186.3181162355985
onnx_real_yolox_s_ti_lite_performance_cascade_plus2x_uuid_f0fb3d26-cbb2-11ee-b91b-53d141cbab09, PASS, 190.39859603696388
onnx_real_yolox_tiny_performance_cascade_plus2x_uuid_13262a9c-cbb7-11ee-b91b-53d141cbab09, PASS, 471.80075568138994
onnx_real_yolox_tiny_ti_lite_performance_cascade_plus2x_uuid_c4998922-cbb2-11ee-b91b-53d141cbab09, PASS, 457.8714559562641
onnx_real_eye_contact_resnet_performance_cascade_plus4x_uuid_f33c94f6-cbb0-11ee-b91b-53d141cbab09, PASS, 580.3971710110274
onnx_real_yolov7_tiny_320_performance_cascade_plus2x_uuid_c7ca2fb0-cbae-11ee-b91b-53d141cbab09, PASS, 700.0225312809283
onnx_real_bisenet_performance_cascade_plus4x_uuid_bc6ec27e-cbaf-11ee-b91b-53d141cbab09, PASS, 149.59136413227426
onnx_real_centernet_mobilenetv2_kpts_performance_cascade_plus_uuid_3cea3bd2-cbb4-11ee-b91b-53d141cbab09, PASS, 358.81352031803254
onnx_real_efficientnet_lite1_performance_cascade_plus_uuid_8b8606b2-cbb5-11ee-b91b-53d141cbab09, PASS, 1279.878917704929
onnx_real_efficientnet_lite2_performance_cascade_plus_uuid_9fe83228-cbb1-11ee-b91b-53d141cbab09, PASS, 1079.8233893286992
onnx_real_efficientnet_lite3_performance_cascade_plus2x_uuid_eae0766e-cbc0-11ee-b91b-53d141cbab09, PASS, 950.9728967428025
onnx_real_efficientnet_lite4_performance_cascade_plus2x_uuid_9f1e5ef4-cbb0-11ee-b91b-53d141cbab09, PASS, 731.7437582105853
onnx_real_gernet_m_performance_cascade_plus4x_uuid_05538adc-cbb6-11ee-b91b-53d141cbab09, PASS, 727.6459393394758
onnx_real_gernet_s_performance_cascade_plus2x_uuid_83a99ff2-cbb1-11ee-b91b-53d141cbab09, PASS, 1366.285107464184
onnx_real_gpunet0_performance_cascade_plus2x_uuid_c1f953ec-cbc0-11ee-b91b-53d141cbab09, PASS, 544.5033681726187
onnx_real_lightcnn_v4_performance_cascade_plus2x_uuid_cb0b0926-cbb6-11ee-b91b-53d141cbab09, PASS, 1095.0327650575673
onnx_real_repvgg_a2_performance_cascade_plus4x_uuid_f71822bc-cbb4-11ee-b91b-53d141cbab09, PASS, 430.2631349486009
onnx_real_repvgg_b0_performance_cascade_plus4x_uuid_72915b28-cbb2-11ee-b91b-53d141cbab09, PASS, 543.6317777311175
onnx_real_yolop320_performance_cascade_plus4x_uuid_f361899c-cbaf-11ee-b91b-53d141cbab09, PASS, 194.56446510247062
onnx_real_yolop640_performance_cascade_plus8x_uuid_49c0b138-cbb9-11ee-b91b-53d141cbab09, PASS, 45.14536313012719
pt_real_lraspp_mobilenet_v3_large_performance_cascade_plus4x_uuid_f4bbccf4-cbae-11ee-b91b-53d141cbab09, PASS, 261.82931389336443
pt_real_mnasnet1_0_performance_cascade_plus2x_uuid_1663d81a-cbb4-11ee-b91b-53d141cbab09, PASS, 1401.4461180684568
pt_real_mobilenet3dv2_performance_cascade_plus_uuid_6fd4dd3a-cbb5-11ee-b91b-53d141cbab09, PASS, 349.87374927532
pt_real_mobilenet3d_performance_cascade_plus_uuid_64275b66-cbb0-11ee-b91b-53d141cbab09, PASS, 405.4418454483413
pt_real_resnet18_performance_cascade_plus2x_uuid_e8c1fdd6-cbb5-11ee-b91b-53d141cbab09, PASS, 492.10033238416713
pt_real_squeezenet3d_performance_cascade_plus_uuid_b9ce49b0-cbb2-11ee-b91b-53d141cbab09, PASS, 381.05960325067343
tf_real_resnetv2_50_performance_cascade_plus4x_uuid_4ebc852e-cbb2-11ee-b91b-53d141cbab09, PASS, 546.5382555565257
tf_real_ssdmobilenet_v2_performance_cascade_plus_uuid_8efb8274-cbb8-11ee-b91b-53d141cbab09, PASS, 752.8519785612488
