Model,Result,FPS
k_real_centernet_resnet_512_performance_cascade_plus6x_uuid_14de6b68-cbaf-11ee-b91b-53d141cbab09, PASS, 71.40912128370469
k_real_chess_alphazero_community_performance_cascade_plus_uuid_9b686b34-cbaf-11ee-b91b-53d141cbab09, PASS, 2807.996250920533
k_real_colornet_performance_cascade_plus4x_uuid_da78d666-cbae-11ee-b91b-53d141cbab09, PASS, 118.7360649519032
k_real_dce_performance_cascade_plus_uuid_d7cf82a2-cbae-11ee-b91b-53d141cbab09, PASS, 168.39177437298284
k_real_deblur_gan_performance_cascade_plus2x_uuid_80b67de4-cbaf-11ee-b91b-53d141cbab09, PASS, 29.726454229823126
k_real_deep_q_atari_breakout_performance_cascade_plus_uuid_79541bee-cbc1-11ee-b91b-53d141cbab09, PASS, 2933.7157006064253
k_real_densenet121_performance_cascade_plus4x_uuid_7ab1dce2-cbb7-11ee-b91b-53d141cbab09, PASS, 755.6201707498545
k_real_densenet169_performance_cascade_plus6x_uuid_3e0e4250-cbbf-11ee-b91b-53d141cbab09, PASS, 488.29515384140757
k_real_densenet201_performance_cascade_plus8x_uuid_5bd0b4a0-cbc2-11ee-b91b-53d141cbab09, PASS, 220.56628945938883
k_real_efficientnetb0_performance_cascade_plus2x_uuid_2a5ef56c-cbb3-11ee-b91b-53d141cbab09, PASS, 929.8091524364155
k_real_efficientnetb1_performance_cascade_plus4x_uuid_1bc0e326-cbb3-11ee-b91b-53d141cbab09, PASS, 767.9104791860813
k_real_efficientnetv2b0_performance_cascade_plus4x_uuid_4925d86c-cbb3-11ee-b91b-53d141cbab09, PASS, 1149.061421291984
k_real_efficientnetv2b1_performance_cascade_plus4x_uuid_c770a814-cbae-11ee-b91b-53d141cbab09, PASS, 1023.5626868403392
k_real_efficientnetv2b2_performance_cascade_plus4x_uuid_302d9e84-cbb4-11ee-b91b-53d141cbab09, PASS, 775.0422694490281
k_real_efficientnetv2b3_performance_cascade_plus4x_uuid_e8a4bb5c-cbb7-11ee-b91b-53d141cbab09, PASS, 514.7831722042145
k_real_espcn_performance_cascade_plus_uuid_5593a36a-cbc0-11ee-b91b-53d141cbab09, PASS, 119.44346908862468
