Model,Result,FPS
k_real_pspnet_performance_cascade_plus_uuid_fd999218-ccba-11ee-9d9c-1d8fcb35c694, PASS, 116.45953144123912
k_real_pspnet_resnet50_performance_cascade_plus6x_uuid_4aae275e-ccba-11ee-9d9c-1d8fcb35c694, PASS, 340.7820030744531
k_real_resnet34_v1_performance_cascade_plus4x_uuid_4c2c5e5c-ccb5-11ee-9d9c-1d8fcb35c694, PASS, 1180.5762280593117
k_real_resnet50_performance_cascade_plus4x_uuid_677f8dae-ccbb-11ee-9d9c-1d8fcb35c694, PASS, 981.9667410385056
k_real_resnet50_v2_performance_cascade_plus4x_uuid_5ddcd5c8-ccba-11ee-9d9c-1d8fcb35c694, PASS, 655.36
k_real_speech_enhancement_unet_performance_cascade_plus4x_uuid_aad42b96-ccb1-11ee-9d9a-1d8fcb35c694, PASS, 1348.243296238436
k_real_squeezenet_bypass_performance_cascade_plus_uuid_bd63b808-ccca-11ee-9d9c-1d8fcb35c694, PASS, 1160.5101004651112
k_real_squeezenet_complex_performance_cascade_plus_uuid_aad42ace-ccb1-11ee-9d99-1d8fcb35c694, PASS, 921.0133486751237
k_real_squeezenet_performance_cascade_plus_uuid_f5fd2d8a-ccb5-11ee-9d9c-1d8fcb35c694, PASS, 1418.9552455927278
k_real_unetplusplus_performance_cascade_plus4x_uuid_7bf36612-ccb5-11ee-9d9c-1d8fcb35c694, PASS, 236.8016368277204
k_real_unet_lane_performance_cascade_plus2x_uuid_e144da1c-ccbc-11ee-9d9c-1d8fcb35c694, PASS, 487.25876978982245
k_real_unet_mobilenet_performance_cascade_plus4x_uuid_07b02c12-ccbb-11ee-9d9c-1d8fcb35c694, PASS, 262.1374465638359
k_real_unet_performance_cascade_plus2x_uuid_040547c4-ccb5-11ee-9d9c-1d8fcb35c694, PASS, 268.7433283569657
k_real_unet_ultrasound_performance_cascade_plus2x_uuid_48e30d40-ccba-11ee-9d9c-1d8fcb35c694, PASS, 1196.3490324936108
k_real_xception_performance_cascade_plus4x_uuid_4357951e-ccb3-11ee-9d9c-1d8fcb35c694, PASS, 313.4191823445852
k_real_efficientnetv2b0_performance_cascade_plus4x_uuid_3eb43d9c-ccb7-11ee-9d9c-1d8fcb35c694, PASS, 1056.1751804231444
k_real_mobilenetv1_0p25_performance_cascade_plus_uuid_39655f0e-ccb4-11ee-9d9c-1d8fcb35c694, PASS, 2331.2827239681183
