Model,Result,FPS
k_real_centernet_resnet_512_performance_cascade_plus6x_uuid_46449ab6-ccb2-11ee-9d9c-1d8fcb35c694, PASS, 71.04694500799262
k_real_chess_alphazero_community_performance_cascade_plus_uuid_feb6aa58-ccb2-11ee-9d9c-1d8fcb35c694, PASS, 2347.9612172238517
k_real_colornet_performance_cascade_plus4x_uuid_c3914cb8-ccb1-11ee-9d9c-1d8fcb35c694, PASS, 119.29938733367844
k_real_dce_performance_cascade_plus_uuid_c0f363ec-ccb1-11ee-9d9c-1d8fcb35c694, PASS, 172.32902185921895
k_real_deblur_gan_performance_cascade_plus2x_uuid_e49c6a36-ccb2-11ee-9d9c-1d8fcb35c694, PASS, 29.766968639215854
k_real_deep_q_atari_breakout_performance_cascade_plus_uuid_44bffe2c-cccd-11ee-9d9c-1d8fcb35c694, PASS, 2864.2378633815224
k_real_densenet121_performance_cascade_plus4x_uuid_914a812a-ccbb-11ee-9d9c-1d8fcb35c694, PASS, 757.0563220631449
k_real_densenet169_performance_cascade_plus6x_uuid_21dbf2e6-cccb-11ee-9d9c-1d8fcb35c694, PASS, 487.9889425112972
k_real_densenet201_performance_cascade_plus8x_uuid_8e17f582-cccf-11ee-9d9c-1d8fcb35c694, PASS, 221.05580490314094
k_real_efficientnetb0_performance_cascade_plus2x_uuid_f0de0436-ccb6-11ee-9d9c-1d8fcb35c694, PASS, 925.7600437905294
k_real_efficientnetb1_performance_cascade_plus4x_uuid_af4f0a06-ccb6-11ee-9d9c-1d8fcb35c694, PASS, 768.9959774561536
k_real_efficientnetv2b0_performance_cascade_plus4x_uuid_3eb43d9c-ccb7-11ee-9d9c-1d8fcb35c694, PASS, 1212.983828054508
k_real_efficientnetv2b1_performance_cascade_plus4x_uuid_aad42c04-ccb1-11ee-9d9c-1d8fcb35c694, PASS, 1069.1545522443225
k_real_efficientnetv2b2_performance_cascade_plus4x_uuid_20f24078-ccb8-11ee-9d9c-1d8fcb35c694, PASS, 818.024090370093
k_real_efficientnetv2b3_performance_cascade_plus4x_uuid_28704da0-ccbc-11ee-9d9c-1d8fcb35c694, PASS, 535.439190439899
k_real_espcn_performance_cascade_plus_uuid_3d6f4d04-cccc-11ee-9d9c-1d8fcb35c694, PASS, 119.47572360323376
k_real_expression_vgg13_performance_cascade_plus_uuid_f027002c-cccc-11ee-9d9c-1d8fcb35c694, PASS, 697.7505248553529
k_real_googlenet_performance_cascade_plus2x_uuid_40870894-ccca-11ee-9d9c-1d8fcb35c694, PASS, 1080.1515295887018
k_real_inceptionv2_performance_cascade_plus4x_uuid_edcfa4d6-ccb4-11ee-9d9c-1d8fcb35c694, PASS, 1028.3004851833964
k_real_inceptionv3_performance_cascade_plus4x_uuid_8a01f5ba-ccbb-11ee-9d9c-1d8fcb35c694, PASS, 438.85408165400634
k_real_jumpnet_101_performance_cascade_plus4x_uuid_e0d7499c-cccc-11ee-9d9c-1d8fcb35c694, PASS, 195.5726566904175
k_real_jumpnet_152_performance_cascade_plus6x_uuid_65c9b75a-ccbb-11ee-9d9c-1d8fcb35c694, PASS, 54.60414021441442
k_real_jumpnet_performance_cascade_plus2x_uuid_72866d42-cccc-11ee-9d9c-1d8fcb35c694, PASS, 480.7952607156613
k_real_linknet_resnet18_performance_cascade_plus6x_uuid_edd063b8-ccb8-11ee-9d9c-1d8fcb35c694, PASS, 50.31356128099071
k_real_mbllen_lowlight_with_noise_performance_cascade_plus4x_uuid_e6420b18-ccb5-11ee-9d9c-1d8fcb35c694, PASS, 11.166818391093114
k_real_mobilenetv1_0p25_performance_cascade_plus_uuid_39655f0e-ccb4-11ee-9d9c-1d8fcb35c694, PASS, 2902.4115811253123
k_real_mobilenetv1_0p50_performance_cascade_plus_uuid_e202f008-ccb5-11ee-9d9c-1d8fcb35c694, PASS, 2857.5056887084247
k_real_mobilenetv1_0p75_performance_cascade_plus_uuid_615dc7d6-ccb3-11ee-9d9c-1d8fcb35c694, PASS, 2423.2065584756974
k_real_mobilenetv1_performance_cascade_plus_uuid_d9cf48c8-ccce-11ee-9d9c-1d8fcb35c694, PASS, 1832.6141477694762
k_real_mobilenetv2_performance_cascade_plus_uuid_aad42bc8-ccb1-11ee-9d9b-1d8fcb35c694, PASS, 1782.2392378653772
k_real_mobilenetv3_large_minimalistic_performance_cascade_plus_uuid_99dad70e-ccb6-11ee-9d9c-1d8fcb35c694, PASS, 1820.05736627193
k_real_mobilenetv3_large_performance_cascade_plus4x_uuid_6f3cf926-ccb8-11ee-9d9c-1d8fcb35c694, PASS, 1600.219756741496
k_real_mobilenetv3_small_minimalistic_performance_cascade_plus_uuid_05a025de-cccb-11ee-9d9c-1d8fcb35c694, PASS, 1828.547513067892
k_real_mobilenetv3_small_performance_cascade_plus2x_uuid_23706f82-ccbd-11ee-9d9c-1d8fcb35c694, PASS, 1820.6736090914221
k_real_nvidia_super_res_performance_cascade_plus_uuid_c4e92850-ccb7-11ee-9d9c-1d8fcb35c694, PASS, 68.75532860255333
