#,Model,target_system,chips,Frames,Total Runs,Finished Runs,Min FPS,Max FPS,Avg FPS,Delta FPS,Min Latency,Max Latency,Avg Latency,Delta Latency,Commit,Start Time (UTC)
1,onnx_real_efficientnet_lite4_performance_cascade_plus,Cascade+,2,5,1,1,256.70598151131406,256.70598151131406,256.7,0.0,16.707039615846337,16.707039615846337,16.7,0.0,'5558f3e9a',2024-05-08 17:00:55
2,k_real_yolov3_performance_cascade_plus,Cascade+,6,5,1,1,46.61956523533688,46.61956523533688,46.6,0.0,54.86842617046818,54.86842617046818,54.9,0.0,'5558f3e9a',2024-05-08 17:00:55
3,tfl_real_yolov8l-cls_performance_cascade_plus,Cascade+,4,5,1,1,207.9769782218393,207.9769782218393,208.0,0.0,11.849072028811525,11.849072028811525,11.8,0.0,'5558f3e9a',2024-05-08 17:00:55
4,k_real_mobilenetv3_small_minimalistic_performance_cascade_plus,Cascade+,1,5,1,1,3517.944473068509,3517.944473068509,3517.9,-0.1,0.7176602641056422,0.7176602641056422,0.7,0.0,'5558f3e9a',2024-05-08 17:00:55
5,onnx_real_facial_cartoonizer_performance_cascade_plus,Cascade+,1,5,1,1,49.6147249832863,49.6147249832863,49.6,0.0,20.522729891956782,20.522729891956782,20.5,0.0,'5558f3e9a',2024-05-08 17:00:55
6,k_real_deep_q_atari_breakout_performance_cascade_plus,Cascade+,1,5,1,1,19034.126612359614,19034.126612359614,19034.1,0.0,0.09291356542617046,0.09291356542617046,0.1,0.0,'5558f3e9a',2024-05-08 17:00:55
7,onnx_real_yolop320_performance_cascade_plus,Cascade+,2,5,1,1,179.56655479145758,179.56655479145758,179.6,-0.1,11.478831932773108,11.478831932773108,11.5,0.0,'5558f3e9a',2024-05-08 17:00:55
8,tfl_real_mp_palm_detection_lite_performance_cascade_plus,Cascade+,2,5,1,1,633.9190044808105,633.9190044808105,633.9,7.7,2.464666266506603,2.464666266506603,2.5,0.0,'5558f3e9a',2024-05-08 17:00:55
9,k_real_deeplab_v3_plus_mobilenetv2_performance_cascade_plus,Cascade+,1,5,1,1,145.59312506816485,145.59312506816485,145.6,-4.6,14.117319327731092,14.117319327731092,14.1,38.2,'5558f3e9a',2024-05-08 17:00:55
10,tfl_real_mp_object_detection_3d_chair_1stage_performance_cascade_plus,Cascade+,1,5,1,1,64.97919417686572,64.97919417686572,65.0,0.0,18.586141656662665,18.586141656662665,18.6,0.0,'5558f3e9a',2024-05-08 17:00:55
11,k_real_jumpnet_101_performance_cascade_plus,Cascade+,3,5,1,1,75.7732946710634,75.7732946710634,75.8,0.0,35.62109603841537,35.62109603841537,35.6,0.0,'5558f3e9a',2024-05-08 17:00:55
12,tf_real_resnetv2_50_performance_cascade_plus,Cascade+,3,5,1,1,317.5400670379306,317.5400670379306,317.5,0.0,9.368719087635055,9.368719087635055,9.4,0.0,'5558f3e9a',2024-05-08 17:00:55
13,pt_real_mnasnet1_0_performance_cascade_plus,Cascade+,1,5,1,1,1075.303518295005,1075.303518295005,1075.3,0.0,3.3017875150060023,3.3017875150060023,3.3,0.0,'5558f3e9a',2024-05-08 17:00:55
14,k_real_squeezenet_complex_performance_cascade_plus,Cascade+,1,5,1,1,541.6973661022306,541.6973661022306,541.7,0.0,2.963909963985594,2.963909963985594,3.0,0.0,'5558f3e9a',2024-05-08 17:00:55
15,tfl_real_mp_pose_landmark_lite_performance_cascade_plus,Cascade+,1,5,1,1,137.8230216729597,137.8230216729597,137.8,-24.7,7.760524609843938,7.760524609843938,7.8,14.7,'5558f3e9a',2024-05-08 17:00:55
16,tfl_real_mobiledet_performance_cascade_plus,Cascade+,1,5,1,1,288.78158093528486,288.78158093528486,288.8,0.0,10.215214885954381,10.215214885954381,10.2,0.0,'5558f3e9a',2024-05-08 17:00:55
17,onnx_real_yolox_d_performance_cascade_plus,Cascade+,0,5,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,'5558f3e9a',2024-05-08 17:00:55
18,k_real_squeezenet_bypass_performance_cascade_plus,Cascade+,1,5,1,1,769.8023095917553,769.8023095917553,769.8,-0.1,1.9856374549819928,1.9856374549819928,2.0,0.0,'5558f3e9a',2024-05-08 17:00:55
19,tf_real_ssd_resnet34_300_performance_cascade_plus,Cascade+,3,5,1,1,61.78579184908186,61.78579184908186,61.8,0.0,21.731229291716687,21.731229291716687,21.7,0.0,'5558f3e9a',2024-05-08 17:00:55
20,k_real_unet_mobilenet_performance_cascade_plus,Cascade+,1,5,1,1,139.62123925666523,139.62123925666523,139.6,0.0,7.412667466986795,7.412667466986795,7.4,0.0,'5558f3e9a',2024-05-08 17:00:55
