model,chips,fps
model_explorer_dendihandian_forest-fire-estimator_GitHub,2,828500.4
model_explorer_the-muses-ltd_Cassie_GitHub,2,615384.6
model_explorer_netsec917_Hikari-IDS_GitHub_2,2,985221.7
model_explorer_antmicro_alkali-csd-fw_GitHub,2,1968503.9
model_explorer_hwajlee_TIL_GitHub_1,2,719424.5
model_explorer_hotg-ai_rune_GitHub_4,2,1972386.6
model_explorer_open-closed-eye-0001_44d54e2715c26d676dab6bc0b756230c_OpenVINO,2,22000.7
model_explorer_hbuenostaubi_crimeapp_GitHub,2,412541.3
model_explorer_hwajlee_TIL_GitHub_2,2,719424.5
model_explorer_MAPLELEAF3659_snake-game-ml-agent_GitHub_2,2,811688.3
model_explorer_mzakharo_tubby_GitHub_1,2,1972386.6
model_explorer_vehicle-lang_vehicle_GitHub_1,2,12139.9
model_explorer_hwajlee_TIL_GitHub_4,2,719424.5
model_explorer_RedisAI_redisai-examples_GitHub_7,2,6479.2
model_explorer_steverab_failing-loudly_GitHub_5,2,24054.1
model_explorer_sutongkui_SubPhysics_GitHub_1,2,251067
model_explorer_hwajlee_TIL_GitHub_6,2,719424.5
model_explorer_SKT27182_portfolio_GitHub,2,8572.1
model_explorer_jeremia49_Dicoding-Tensorflow-Certification-Preparation_GitHub,2,6071.1
model_explorer_SKT27182_portfolio_GitHub_3,2,8572.1
model_explorer_jeremia49_Dicoding-Tensorflow-Certification-Preparation_GitHub_1,2,6070
model_explorer_BLRSAI_VEXAI-Sim_GitHub,2,811688.3
model_explorer_netsec917_Hikari-IDS_GitHub_1,2,385802.5
model_explorer_openvinotoolkit_openvino_GitHub_4,2,1014198.8
model_explorer_A-Y-Yang_CSP-572-Drug-Target-Identification-master_GitHub_1,2,124192.7
model_explorer_hotg-ai_rune_GitHub_3,2,16875.6
model_explorer_ARM-software_ML-zoo_GitHub,2,11267.2
model_explorer_Bhavya2201_Accudiagnosis_GitHub,2,11024.5
model_explorer_batu_ProjNar_GitHub_7,2,53685.5
model_explorer_AppleParfait_OSP-Archive_GitHub_3,2,181061
model_explorer_Crystalsound_FRN_GitHub,2,1949
model_explorer_openvinotoolkit_testdata_GitHub,2,10178.2
model_explorer_naotokui_CreativeGAN-Rhythm_GitHub,2,56236.6
model_explorer_naotokui_CreativeGAN-Rhythm_GitHub_2,2,56236.6
model_explorer_SKT27182_portfolio_GitHub_1,2,5726.2
model_explorer_SKT27182_portfolio_GitHub_7,2,8572.1
model_explorer_batu_ProjNar_GitHub_4,2,53685.5
model_explorer_netsec917_Hikari-IDS_GitHub_6,2,612745.1
model_explorer_naotokui_CreativeGAN-Rhythm_GitHub_1,2,56236.6
model_explorer_FabianGroeger96_cnn-number-detection_GitHub_1,2,14227.2
model_explorer_AppleParfait_OSP-Archive_GitHub_1,2,23530.5
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_34,2,103766.7
model_explorer_devLeffe_toxic-message-compet_GitHub,2,2080.9
model_explorer_jmsulliv_Optical-Prediction-Neural-Network_GitHub_1,2,87070.1
model_explorer_VarunAkav_Comp_int_NN_GitHub,2,3478
model_explorer_deep_q_atari_breakout_local_model,2,13119.4
model_explorer_codemaker2015_TensorFlow-Lite-for-Unity-Samples_GitHub_1,2,15041
model_explorer_Edenzzzz_Edu-x_GitHub_1,2,5835.4
model_explorer_openvinotoolkit_openvino_GitHub,2,4566.6
model_explorer_MobileNetV1_cee7ba4026738ce1ec9f62947f385932_Coral,2,6618.5
model_explorer_jmsulliv_Optical-Prediction-Neural-Network_GitHub_3,2,87032.2
model_explorer_adnan4077_medical-image-class-detection_GitHub,2,12329.1
model_explorer_Aylin-19-Johns_CIFAR-10_classifier_GitHub,2,4496.5
model_explorer_nomadz-ethz_nomadz-code-release_GitHub_1,2,2426.4
model_explorer_mrdakj_letters_GitHub_1,2,2548.8
model_explorer_bernardesrodrigoc_Ethoflow_GitHub,2,904.3
model_explorer_jofuelo_multimodal_emotion_detector_GitHub,2,240.2
model_explorer_Kastori1206_catheroes_GitHub,2,4508.9
model_explorer_ArmenHagopian_AI_self-driving-car-simulation_GitHub,2,2471
model_explorer_jaspervillarosa_VILLAROSA_THESIS_GitHub,2,5133.2
model_explorer_imagenet_mobilenet_v1_050_128_classification_252bdd56250c14a22da8f07d43196836_TFHub,2,6380.2
model_explorer_openvinotoolkit_openvino_GitHub_8,2,311915.2
model_explorer_openvinotoolkit_openvino_GitHub_19,2,666.2
model_explorer_mobilenet_v1_0.25_224_quantized_0bed04f636ebc9197477cb0489beda89_TFHub,2,2214.7
model_explorer_hwajlee_TIL_GitHub,2,719424.5
model_explorer_SatyamVyas00_Cloudburst-Prediction-using-GAF-and-CNN_GitHub,2,1906.1
model_explorer_Kotetsu0000_JavaOthello_GitHub_2,2,791139.2
model_explorer_mobilenet_v1_0.25_224_8e4c2c9e504fd9581465bbb1a5f63efa_TFHub,2,2213.3
model_explorer_MobileNetV1_e1ade2f1808bc10ef1c60e937ffe93c5_Coral,2,4142.7
model_explorer_SuavePirate_FaceONNX.Models_GitHub_3,2,432.8
model_explorer_JuanCruzC97_ml-stuff_GitHub,2,538.2
model_explorer_xMinh129_yimotion_training_GitHub,2,4278.3
model_explorer_na-o-ys_shogi-camera_GitHub_1,2,4227.2
model_explorer_rachidelfe_CNN-MGP-SCRIPT_GitHub,2,251.4
model_explorer_mobilenet_v1_0.50_160_e65762dbcaac3732498d40868d2d9ec2_TFHub,2,4145
model_explorer_mp_hand_recrop_local_model,2,1008.9
model_explorer_mobilenet_v1_0.75_128_quantized_17c97b25c57729ea27176872c3b55da3_TFHub,2,3094.8
model_explorer_na-o-ys_shogi-camera_GitHub,2,4230.4
model_explorer_SKT27182_portfolio_GitHub_10,2,5726.2
model_explorer_mobilenet_v1_0.50_192_1d03baefe6b958a640be280747f99c53_TFHub,2,2897.4
model_explorer_openvinotoolkit_openvino_GitHub_14,2,2151.1
model_explorer_VikrantShah_AI-DocHelper_GitHub_1,2,757.4
model_explorer_mobilenet_v1_0.50_224_quantized_3ead468050447581df495877ba44cee3_TFHub,2,2137.4
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_4,2,4937.1
model_explorer_umarkhan2000_HackTheNorth_GitHub,2,2328.7
model_explorer_espcn_x4_c92622cdedd9a20119a85a90d9b0984c_Hailo,2,646.9
model_explorer_jaspervillarosa_VILLAROSA_THESIS_GitHub_1,2,4112.3
model_explorer_joshi-swetam_Flower-Recognition-AI-ML-Model_GitHub_1,2,795.3
model_explorer_TiVo_dts-studio_GitHub_12,2,4937.1
model_explorer_janantala_senior-detection_GitHub,2,1749.4
model_explorer_arthurvalls_plant-sickness-detection_GitHub,2,1273.6
model_explorer_RevTpark_pokeDex-app_GitHub_1,2,1863.2
model_explorer_SuavePirate_FaceONNX.Models_GitHub_5,2,5823.2
model_explorer_Kotetsu0000_JavaOthello_GitHub_1,2,195083.9
model_explorer_hwajlee_TIL_GitHub_3,2,719424.5
model_explorer_mobilenet_v1_1.0_128_quantized_26340ba87df7d805f0c46929918d6588_TFHub,2,501.8
model_explorer_greenelab_core-accessory-interactome_GitHub,2,4318.1
model_explorer_ultraface_320_local_model,2,1402.3
model_explorer_onnx_models_GitHub_124,2,1463
model_explorer_mobilenet_v1_0.50_224_ed590e5399cd02e04aa74a191f4ccab2_TFHub,2,2129.4
model_explorer_onnx_models_GitHub_12,2,1462.1
model_explorer_MobileNetV1_62477226e198368be957058d89d81b7f_Coral,2,2820.7
model_explorer_imagenet_mobilenet_v3_small_100_224_classification_962b115180de6f0edbd74871053f89f5_TFHub,2,197.5
model_explorer_Dense-Head-Pose-Estimation_da347b73a0c6aac2a6aa3236741597e9_PINTO_5,2,2898.7
model_explorer_nomadz-ethz_nomadz-code-release_GitHub,2,15701.5
model_explorer_greenelab_generic-expression-patterns_GitHub_1,2,4524.5
model_explorer_mobilenet_v1_0.75_160_quantized_b47553037d67375f1b167a5bbc05c08f_TFHub,2,2019.2
model_explorer_UltraLightweightFaceDetectionslim320_5fa4898fe882dc1d1fa3e0202f18d1aa_OpenVINO,2,1423.9
model_explorer_imagenet_mobilenet_v3_large_075_224_classification_2c0eba0feb6aaec029195a28ed4d8f50_TFHub,2,197.5
model_explorer_utopiaZhang_devops_for_datascience_GitHub_1,2,2163.1
model_explorer_ArmanNavodia_PlantDiseaseDetectionModel_GitHub,2,216.4
model_explorer_mobilenet_v1_1.0_128_46110b795dab29e40521142c283e95ec_TFHub,2,4582.6
model_explorer_Preeti-sahani_smoke-fire-detector_GitHub,2,825.1
model_explorer_rehat-app_Deploy-ML_GitHub,2,686.7
model_explorer_espcn_x3_db0bbbfcb4191e0fd31750e86ffd5c79_Hailo,2,388.1
model_explorer_opencv_opencv_zoo_GitHub_14,2,2085.1
model_explorer_mobilenet_v1_0.50_128_4e0afb47123ebb97af6940f48f138e48_TFHub,2,6380.2
model_explorer_YuNet_62443df09472306e47a98f70b9922e9e_PINTO,2,5548.8
model_explorer_mnasnet_1.0_128_d9d0f6ab19d6ee2aa6936237bde17502_TFHub,2,2702.7
model_explorer_chess_alphazero_community_local_model,2,2136.1
model_explorer_mobilenet_v1_0.75_192_8ef21fc592e1d5359817f3407298dcab_TFHub,2,2820.9
model_explorer_emza-vs_ModelZoo_GitHub,2,1679.5
model_explorer_URetinex-Net_4ac8242609816866ddfacc736328807a_PINTO_42,2,69
model_explorer_wilsonloo_faceEmotionCppLinux_GitHub_2,2,2412.9
model_explorer_mp_hand_landmark_lite_local_model,2,2086.7
model_explorer_wilsonloo_faceEmotionAndroid_GitHub_1,2,2412.9
model_explorer_keonroohparvar_AI_ChessEngine_GitHub,2,451671.2
model_explorer_expression_vgg13_local_model,2,411.5
model_explorer_csTTRX_coulb-arif_GitHub,2,1028.7
model_explorer_imagenet_mobilenet_v1_050_224_classification_003f32bbe2c68e075c0157b396be993d_TFHub,2,2129.4
model_explorer_thoughtworksarts_EmoPy_GitHub,2,501.4
model_explorer_onnx_models_GitHub_67,2,6479.2
model_explorer_K-Team-Coders_AfterburnerSQL_GitHub,2,210748.2
model_explorer_openvinotoolkit_openvino_GitHub_9,2,2322.8
model_explorer_MoveNet.SinglePose.Lightning_b2b9000f4a4bb5fb73a68546a3b9b3d6_Coral,2,466.3
model_explorer_rajghadi1_MDP_GitHub,2,388.5
model_explorer_saicharankr_Realtime-Facial-Expression-Recognition_GitHub,2,223.5
model_explorer_openvinotoolkit_openvino_GitHub_17,2,1189.6
model_explorer_arcface_mobilefacenet_885ebf841fbfa97fd3ac991212337c2d_Hailo,2,465
model_explorer_yuradanyliuk_AutomaticParking_GitHub,2,434782.6
model_explorer_wilsonloo_faceEmotionCppLinux_GitHub,2,2415.9
model_explorer_SKT27182_portfolio_GitHub_9,2,8572.1
model_explorer_mobilenet_v1_0.25_192_quantized_e90b0c4ed2199993b5be63199cf4e3d4_TFHub,2,2971.7
model_explorer_kuff_medslr_GitHub_1,2,112739.6
model_explorer_mobilenet_v1_1.0_192_quantized_3e6b2801733a2c9d44896a61633237df_TFHub,2,828.5
model_explorer_mp_face_landmark_local_model,2,1745.5
model_explorer_tensil-ai_tensil-models_GitHub_2,2,1141.1
model_explorer_AdwitM_Sign-Language-Recognition_GitHub,2,279
model_explorer_batu_ProjNar_GitHub_12,2,53685.5
model_explorer_raytheonbbn_tak-ml_GitHub_2,2,1588.2
model_explorer_asus4_tf-lite-unity-sample_GitHub_8,2,466.3
model_explorer_MobileStyleGAN_97ee8f4ce997135b6de496d9589b2564_PINTO_2,2,108707.5
model_explorer_mobilenet_v1_0.25_128_quantized_59d519440f9053ba58cb93b7b7fcdd55_TFHub,2,6623.6
model_explorer_ersilia-os_image-based-dl_GitHub_1,2,652.9
model_explorer_squeezenet_bypass_local_model,2,478.1
model_explorer_ShubhmKaale_CNN-Image-Classification-Heroku-Cloud-Deployment_GitHub,2,853
model_explorer_YAMNet_4a5f991ff1ae5529ac2a9166ac5dc226_PINTO_13,2,5067.2
model_explorer_mobilenet_v1_1.0_192_e1649f4cbdd3dc63f83a3630b782d4e6_TFHub,2,2312.8
model_explorer_mp_face_detection_full_range_sparse_local_model,2,492.9
model_explorer_aiy_vision_classifier_birds_V1_93541cd953e436eb19ee23b6122f16f6_TFHub,2,1200.4
model_explorer_fast_depth_7cb9fc9994feba47c2b2b47aacdd73b8_Hailo,2,273.8
model_explorer_inferenceengine_shadernn_GitHub_7,2,1589.7
model_explorer_ACR-Loss_4e93bc740122b8c4fa1a02160a42912b_PINTO,2,1589.8
model_explorer_ThomAub_redisai-rs_GitHub_1,2,4444.5
model_explorer_opencv_opencv_zoo_GitHub_36,2,1790.3
model_explorer_mp_hand_landmark_full_local_model,2,1560.6
model_explorer_batu_ProjNar_GitHub_5,2,53685.5
model_explorer_aiy_vision_classifier_plants_V1_9b84407188105ac5c24cd2e6db3b2cbc_TFHub,2,1186.4
model_explorer_TiVo_dts-studio_GitHub_10,2,1564
model_explorer_AnishPawar_DSC-Eye-of-God_GitHub_4,2,164.4
model_explorer_onnx_models_GitHub_142,2,405.9
model_explorer_MobileNetV2_5e4e1a101e8f7a5cd6956ae8f378d5c8_Coral,2,2000.9
model_explorer_openvinotoolkit_openvino_GitHub_27,2,83998.3
model_explorer_FRILL_d830529e1248d3d75f95c02da4cfebf8_PINTO_5,2,2650.9
model_explorer_raytheonbbn_tak-ml_GitHub_4,2,164.4
model_explorer_steverab_failing-loudly_GitHub_1,2,24054.1
model_explorer_netsec917_Hikari-IDS_GitHub_3,2,826446.3
model_explorer_kuff_medslr_GitHub,2,203832
model_explorer_ShufflenetV2x1.0_c665fabb58ff94de6df98d89c25e5ae9_OpenVINO,2,1732.2
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_21,2,2044.8
model_explorer_imagenet_mobilenet_v1_025_224_classification_fd665875f3ab208a0ca57cc14fbedab8_TFHub,2,2213.3
model_explorer_TiVo_dts-studio_GitHub_11,2,299.8
model_explorer_MAPLELEAF3659_snake-game-ml-agent_GitHub,2,16317.5
model_explorer_facial_expression_recognition_mobilefacenet_e12622b988d7e35a68309814a17ef21b_PINTO_4,2,3075.6
model_explorer_vehicle-attributes-recognition-barrier-0042_8a6998b14372a9a9b3f62d0caf3bca34_PINTO_5,2,887.2
model_explorer_maxlegrec1_DetectionFdF_GitHub,2,72.2
model_explorer_driver-action-recognition-adas-0002-encoder_fc316ce76647ed4da2457956cb09b4b1_PINTO_2,2,2050.5
model_explorer_temmyzeus_No-Toxic_GitHub,2,800.1
model_explorer_pmcbride_REDNet-TensorFlow_GitHub,2,5641.4
model_explorer_mnasnet_1.0_224_9ef5c95f737ba707019d2d533e4e400a_TFHub,2,1199.2
model_explorer_arbitrary_image_stylization_4ec16d9ab58918bed5e2a300c25dca76_PINTO,2,1528.8
model_explorer_gordinmitya_dnn_benchmark_GitHub_1,2,2022.1
model_explorer_onnx_models_GitHub_72,2,1730.1
model_explorer_octoml_octoml-examples_GitHub_3,2,1732.7
model_explorer_mobilenet_v1_1.0_224_3f45a1889f6d8dafde1351ea198c8548_TFHub,2,1784.5
model_explorer_AnishPawar_DSC-Eye-of-God_GitHub_1,2,1784.5
model_explorer_quarrying_quarrying-plant-id_GitHub,2,1604.8
model_explorer_espcn_x2_57a3f9e845f7f295cab834ea295a5532_Hailo,2,162.4
model_explorer_batu_ProjNar_GitHub,2,29403.1
model_explorer_asus4_tf-lite-unity-sample_GitHub_2,2,1528.8
model_explorer_ML-Chen_vaporwave-gan_GitHub,2,1610.6
model_explorer_dong-haha_deeplearning_javaweb_GitHub,2,2050.7
model_explorer_face-detection-0100_18be1390c6f70f90ff9e4bae53f2b72a_PINTO_11,2,1218
model_explorer_kklosowski_CIFAR10-with-Keras_GitHub,2,12427.5
model_explorer_zetane_viewer_GitHub_17,2,411.5
model_explorer_onnx_models_GitHub_73,2,411.5
model_explorer_mobilenet_v1_0.25_192_7e1ea4e3ac7ec5b71609e19dc9bb6771_TFHub,2,2972.3
