Model,FPS,,
model_explorer_dendihandian_forest-fire-estimator_GitHub,2304.894,,
model_explorer_the-muses-ltd_Cassie_GitHub,2466.196,,
model_explorer_netsec917_Hikari-IDS_GitHub_2,2302.27,,
model_explorer_antmicro_alkali-csd-fw_GitHub,2373.794,,
model_explorer_hwajlee_TIL_GitHub_1,2297.627,,
model_explorer_hotg-ai_rune_GitHub_4,2308.05,,
model_explorer_open-closed-eye-0001_44d54e2715c26d676dab6bc0b756230c_OpenVINO,2307.43,,
model_explorer_hbuenostaubi_crimeapp_GitHub,2327.565,,
model_explorer_hwajlee_TIL_GitHub_2,2439.718,,
model_explorer_MAPLELEAF3659_snake-game-ml-agent_GitHub_2,2310.799,,
model_explorer_mzakharo_tubby_GitHub_1,2312.83,,
model_explorer_vehicle-lang_vehicle_GitHub_1,2411.168,,
model_explorer_hwajlee_TIL_GitHub_4,2301.932,,
model_explorer_RedisAI_redisai-examples_GitHub_7,2307.733,,
model_explorer_steverab_failing-loudly_GitHub_5,2304.583,,
model_explorer_sutongkui_SubPhysics_GitHub_1,2310.346,,
model_explorer_hwajlee_TIL_GitHub_6,2317.136,,
model_explorer_SKT27182_portfolio_GitHub,2326.707,,
model_explorer_jeremia49_Dicoding-Tensorflow-Certification-Preparation_GitHub,2315.571,,
model_explorer_SKT27182_portfolio_GitHub_3,2356.838,,
model_explorer_jeremia49_Dicoding-Tensorflow-Certification-Preparation_GitHub_1,2334.155,,
model_explorer_BLRSAI_VEXAI-Sim_GitHub,2320.603,,
model_explorer_netsec917_Hikari-IDS_GitHub_1,2325.515,,
model_explorer_openvinotoolkit_openvino_GitHub_4,2322.186,,
model_explorer_A-Y-Yang_CSP-572-Drug-Target-Identification-master_GitHub_1,2346.81,,
model_explorer_hotg-ai_rune_GitHub_3,2352.156,,
model_explorer_ARM-software_ML-zoo_GitHub,2301.831,,
model_explorer_Bhavya2201_Accudiagnosis_GitHub,2317.116,,
model_explorer_batu_ProjNar_GitHub_7,2308.398,,
model_explorer_AppleParfait_OSP-Archive_GitHub_3,2279.174,,
model_explorer_Crystalsound_FRN_GitHub,2299.451,,
model_explorer_openvinotoolkit_testdata_GitHub,2308.95,,
model_explorer_naotokui_CreativeGAN-Rhythm_GitHub,2309.545,,
model_explorer_naotokui_CreativeGAN-Rhythm_GitHub_2,2317.403,,
model_explorer_SKT27182_portfolio_GitHub_1,2300.54,,
model_explorer_SKT27182_portfolio_GitHub_7,2312.364,,
model_explorer_batu_ProjNar_GitHub_4,2417.505,,
model_explorer_netsec917_Hikari-IDS_GitHub_6,2337.399,,
model_explorer_naotokui_CreativeGAN-Rhythm_GitHub_1,2295.658,,
model_explorer_FabianGroeger96_cnn-number-detection_GitHub_1,2321.965,,
model_explorer_AppleParfait_OSP-Archive_GitHub_1,2321.402,,
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_34,2359.893,,
model_explorer_devLeffe_toxic-message-compet_GitHub,2124.86,,
model_explorer_jmsulliv_Optical-Prediction-Neural-Network_GitHub_1,2313.992,,
model_explorer_VarunAkav_Comp_int_NN_GitHub,2316.857,,
model_explorer_deep_q_atari_breakout_local_model,2309.161,,
model_explorer_codemaker2015_TensorFlow-Lite-for-Unity-Samples_GitHub_1,2375.666,,
model_explorer_Edenzzzz_Edu-x_GitHub_1,2294.803,,
model_explorer_openvinotoolkit_openvino_GitHub,1986.479,,
model_explorer_MobileNetV1_cee7ba4026738ce1ec9f62947f385932_Coral,2289.86,,
model_explorer_jmsulliv_Optical-Prediction-Neural-Network_GitHub_3,2311.617,,
model_explorer_adnan4077_medical-image-class-detection_GitHub,2299.153,,
model_explorer_Aylin-19-Johns_CIFAR-10_classifier_GitHub,2321.785,,
model_explorer_nomadz-ethz_nomadz-code-release_GitHub_1,2236.208,,
model_explorer_mrdakj_letters_GitHub_1,2295.874,,
model_explorer_bernardesrodrigoc_Ethoflow_GitHub,1337.04,,
model_explorer_jofuelo_multimodal_emotion_detector_GitHub,388.3124,,
model_explorer_Kastori1206_catheroes_GitHub,2287.23,,
model_explorer_ArmenHagopian_AI_self-driving-car-simulation_GitHub,1749.916,,
model_explorer_jaspervillarosa_VILLAROSA_THESIS_GitHub,2360.183,,
model_explorer_imagenet_mobilenet_v1_050_128_classification_252bdd56250c14a22da8f07d43196836_TFHub,2392.832,,
model_explorer_openvinotoolkit_openvino_GitHub_8,2354.189,,
model_explorer_openvinotoolkit_openvino_GitHub_19,961.1881,,
model_explorer_mobilenet_v1_0.25_224_quantized_0bed04f636ebc9197477cb0489beda89_TFHub,1077.735,,
model_explorer_hwajlee_TIL_GitHub,2319.191,,
model_explorer_SatyamVyas00_Cloudburst-Prediction-using-GAF-and-CNN_GitHub,589.8566,,
model_explorer_Kotetsu0000_JavaOthello_GitHub_2,2409.716,,
model_explorer_mobilenet_v1_0.25_224_8e4c2c9e504fd9581465bbb1a5f63efa_TFHub,1111.083,,
model_explorer_MobileNetV1_e1ade2f1808bc10ef1c60e937ffe93c5_Coral,2100.101,,
model_explorer_SuavePirate_FaceONNX.Models_GitHub_3,519.1947,,
model_explorer_JuanCruzC97_ml-stuff_GitHub,551.4014,,
model_explorer_xMinh129_yimotion_training_GitHub,2408.114,,
model_explorer_na-o-ys_shogi-camera_GitHub_1,2350.469,,
model_explorer_rachidelfe_CNN-MGP-SCRIPT_GitHub,260.6343,,
model_explorer_mobilenet_v1_0.50_160_e65762dbcaac3732498d40868d2d9ec2_TFHub,2060.216,,
model_explorer_mp_hand_recrop_local_model,898.4519,,
model_explorer_mobilenet_v1_0.75_128_quantized_17c97b25c57729ea27176872c3b55da3_TFHub,2303.29,,
model_explorer_na-o-ys_shogi-camera_GitHub,2278.696,,
model_explorer_SKT27182_portfolio_GitHub_10,2321.291,,
model_explorer_mobilenet_v1_0.50_192_1d03baefe6b958a640be280747f99c53_TFHub,1543.174,,
model_explorer_openvinotoolkit_openvino_GitHub_14,1049.503,,
model_explorer_VikrantShah_AI-DocHelper_GitHub_1,836.2033,,
model_explorer_mobilenet_v1_0.50_224_quantized_3ead468050447581df495877ba44cee3_TFHub,1084.656,,
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_4,2341.698,,
model_explorer_umarkhan2000_HackTheNorth_GitHub,2146.988,,
model_explorer_espcn_x4_c92622cdedd9a20119a85a90d9b0984c_Hailo,677.4211,,
model_explorer_jaspervillarosa_VILLAROSA_THESIS_GitHub_1,2337.058,,
model_explorer_joshi-swetam_Flower-Recognition-AI-ML-Model_GitHub_1,955.5216,,
model_explorer_TiVo_dts-studio_GitHub_12,2307.981,,
model_explorer_janantala_senior-detection_GitHub,2062.849,,
model_explorer_arthurvalls_plant-sickness-detection_GitHub,1444.982,,
model_explorer_RevTpark_pokeDex-app_GitHub_1,1696.662,,
model_explorer_SuavePirate_FaceONNX.Models_GitHub_5,2373.815,,
model_explorer_Kotetsu0000_JavaOthello_GitHub_1,2316.578,,
model_explorer_hwajlee_TIL_GitHub_3,2316.591,,
model_explorer_mobilenet_v1_1.0_128_quantized_26340ba87df7d805f0c46929918d6588_TFHub,502.6553,,
model_explorer_greenelab_core-accessory-interactome_GitHub,2356.7,,
model_explorer_ultraface_320_local_model,754.4429,,
model_explorer_onnx_models_GitHub_124,1111.814,,
model_explorer_mobilenet_v1_0.50_224_ed590e5399cd02e04aa74a191f4ccab2_TFHub,1065.656,,
model_explorer_onnx_models_GitHub_12,1068.73,,
model_explorer_MobileNetV1_62477226e198368be957058d89d81b7f_Coral,1556.35,,
model_explorer_imagenet_mobilenet_v3_small_100_224_classification_962b115180de6f0edbd74871053f89f5_TFHub,326.1784,,
model_explorer_Dense-Head-Pose-Estimation_da347b73a0c6aac2a6aa3236741597e9_PINTO_5,2268.818,,
model_explorer_nomadz-ethz_nomadz-code-release_GitHub,2451.075,,
model_explorer_greenelab_generic-expression-patterns_GitHub_1,2294.916,,
model_explorer_mobilenet_v1_0.75_160_quantized_b47553037d67375f1b167a5bbc05c08f_TFHub,2015.239,,
model_explorer_UltraLightweightFaceDetectionslim320_5fa4898fe882dc1d1fa3e0202f18d1aa_OpenVINO,757.4432,,
model_explorer_imagenet_mobilenet_v3_large_075_224_classification_2c0eba0feb6aaec029195a28ed4d8f50_TFHub,326.0482,,
model_explorer_utopiaZhang_devops_for_datascience_GitHub_1,2222.317,,
model_explorer_ArmanNavodia_PlantDiseaseDetectionModel_GitHub,229.7237,,
model_explorer_mobilenet_v1_1.0_128_46110b795dab29e40521142c283e95ec_TFHub,2276.136,,
model_explorer_Preeti-sahani_smoke-fire-detector_GitHub,931.6825,,
model_explorer_rehat-app_Deploy-ML_GitHub,726.2585,,
