Model,FPS
model_explorer_pri-avhad_CovidQ_GitHub,413.7353
model_explorer_RishikSarkar_mood-tunes_GitHub,55.77781
model_explorer_VehicleLicensePlateDetectionBarrier_92a6d2af0144f173ab695953c3f09093_OpenVINO,895.7751
model_explorer_Shaon2221_Fish-Disease-Detection_GitHub,1069.218
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_5,1757.473
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_3,1755.493
model_explorer_minhrongcon2000_mask-recognition_GitHub_1,657.9521
model_explorer_xmartlabs_malaria-detector_GitHub,1255.084
model_explorer_tcyrus_waifu2x-onnx_GitHub_7,215.3192
model_explorer_F4-DUT_BackEnd_GitHub,348.6221
model_explorer_Tesipog_Accident_detection_GitHub,312.0794
model_explorer_tcyrus_waifu2x-onnx_GitHub_30,215.2288
model_explorer_vsjwonder_CNN_Malaria_Pred_Deploy_GitHub,1094.548
model_explorer_tcyrus_waifu2x-onnx_GitHub_25,215.2535
model_explorer_vsahasrabudhe96_malaria-detect_GitHub,1663.618
model_explorer_DivyaArunthathiar_Alzheimer-Detection_GitHub,1451.22
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub,1694.207
model_explorer_regnetx_800mf_1bf85ea2b8041914d5a21c24c6d542de_Hailo,571.3953
model_explorer_tcyrus_waifu2x-onnx_GitHub_28,215.2163
model_explorer_krullgit_Farmero---Satellite-Image-Processing_GitHub_1,63.11942
model_explorer_kevin866_hotdog866_GitHub,222.0242
model_explorer_bmarko98_histopathologic-cancer-detection_GitHub,63.32555
model_explorer_mickvanhulst_imaterialist_kaggle_GitHub_2,536.8705
model_explorer_srihari1212_pnuemonia_predic_GitHub,548.9927
model_explorer_ANUSHKALA_EuroSAT-ResNet34_GitHub,623.5394
model_explorer_opencv_opencv_zoo_GitHub_27,190.0678
model_explorer_LeilaRanjbar82_LeilaRanjbar82_GitHub,766.4475
model_explorer_RedisAI_redisai-examples_GitHub_2,674.9611
model_explorer_mranaljadhav_harvestt_GitHub,413.8744
model_explorer_RegNetX008_09d268e3512c833c2be9fff962453971_KerasApps,427.3849
model_explorer_krullgit_Farmero---Satellite-Image-Processing_GitHub,63.1103
model_explorer_sulaiman-kagumire_MCS7204-Deep-Learning-Project_GitHub,461.8809
model_explorer_Ternaku-id_ternaku-bangkit-machine-learning_GitHub_2,1763.486
model_explorer_repvgg_a2_d960ba93ba3297d9e18151f7c7e99331_Hailo,260.308
model_explorer_eye_contact_resnet_local_model,349.7383
model_explorer_onnx_models_GitHub_16,396.9924
model_explorer_torinos-yt_VL.Onnx_GitHub_2,397.1062
model_explorer_xmartlabs_malaria-detector_GitHub_2,1254.807
model_explorer_ResNet-50_b75c106f8c19d3461e91923f8ed0d6f6_Coral,435.8534
model_explorer_tensil-ai_tensil-models_GitHub,396.8219
model_explorer_tcyrus_waifu2x-onnx_GitHub_20,215.2655
model_explorer_ivadym_FER_GitHub,787.3144
model_explorer_hanyax_simd_gpu_profilling_GitHub_1,397.2611
model_explorer_ResNet50_9089c3c5d63d9f9e2826bc1bc2db3846_KerasApps,675.635
model_explorer_onnx_models_GitHub_99,396.9516
model_explorer_RegNetX016_70452eb95279e9cf948e68f8e212616e_KerasApps,202.1602
model_explorer_cam-owen_cat-classifier_GitHub,488.5285
model_explorer_Pratimaku123_Heroku_Deployment_1_GitHub,674.8279
model_explorer_resnet_v2_34_dd80dd34fdf7105bbb294d5314a9f847_Hailo,280.2252
model_explorer_SuavePirate_FaceONNX.Models_GitHub_1,331.0095
model_explorer_onnx_models_GitHub_91,625.6556
model_explorer_InceptionV3_9aa9b9aa0dbb61ffb09146567326a1f1_Coral,263.5332
model_explorer_SwaggyMacro_MiraiNsfwBot_GitHub_2,263.0486
model_explorer_mickvanhulst_imaterialist_kaggle_GitHub,418.2423
model_explorer_regnetx_1.6gf_2933ae5ea7b06c154595a3f3051a1664_Hailo,232.5838
model_explorer_ARRARIAKU2_Implementation_Heart_Segmentation_GitHub,63.84146
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_2,349.8167
model_explorer_Hashara_chest-radiography-analysis-web-app_GitHub_1,495.966
model_explorer_xiongjiamu_test_repo_GitHub_4,397.1696
model_explorer_InceptionV3_3447a75b55204c519f77b2f645ec6af0_KerasApps,264.2871
model_explorer_Hashara_chest-radiography-analysis-web-app_GitHub,537.6057
model_explorer_hardnet68_3c28f09ad9515b77835a0b7a598d3406_Hailo,70.05428
model_explorer_onnx_models_GitHub_122,625.4494
model_explorer_arcface_r50_e4f91747a6d2a4a98c2596a4ed6f2160_Hailo,279.8298
model_explorer_Inception(GoogleNet)V3_f45304cc453a887cbac71b9753ae6adb_OpenVINO_1,263.3158
model_explorer_DenseNet169_154d055ebe32c9a17643b073a199def8_KerasApps,326.1801
model_explorer_efficientdet_lite1_detection_c8589fb4bc9ddaba373c580e45c5c502_TFHub,119.0275
model_explorer_inception_v3_640c44027e6dedd87cf767855d92e54d_TFHub,263.5462
model_explorer_dnutiu_image-tagger_GitHub_1,355.7809
model_explorer_simon-mo_fijit-sys_GitHub_1,396.9994
model_explorer_repvgg_a2_local_model,258.0179
model_explorer_ResNet50V2_58d395191ab578dfc8371e8138e49ad6_KerasApps,396.8808
model_explorer_mickvanhulst_imaterialist_kaggle_GitHub_1,418.4213
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_10,119.4832
model_explorer_siabang35_Capstone-PlantGenius_GitHub,1037.045
model_explorer_onnx_models_GitHub_50,280.2706
model_explorer_ResNet34_ae49104e07f6719634956c5eeb091ddf_OpenVINO,280.5154
model_explorer_efficientdet_lite1_701e7dc154daa4861d473f715fdf5edf_Hailo,120.2073
model_explorer_pix2depth_local_model,52.50507
model_explorer_Inception(GoogleNet)V3_f45304cc453a887cbac71b9753ae6adb_OpenVINO,263.5188
model_explorer_TerraceCN_morecats_GitHub_1,111.7893
model_explorer_onnx_models_GitHub_13,397.1819
model_explorer_yolov8l-cls_local_model,140.5575
model_explorer_mp_pose_landmark_heavy_local_model,71.63531
model_explorer_ajeetkbhardwaj_Covid-and-Pneumonia-Detection-Web-Application-Using-X-ray_Image_GitHub,294.0058
model_explorer_TiVo_dts-studio_GitHub_9,71.63734
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_16,200.3294
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_15,200.3751
model_explorer_onnx_models_GitHub_51,348.6806
model_explorer_opencv_opencv_zoo_GitHub_29,396.8478
model_explorer_chantya127_CNN_GitHub,540.2065
model_explorer_PacktPublishing_Deep-Learning-using-Keras---A-Complete-and-Compact-Guide-for-Beginners_GitHub,60.75121
model_explorer_pspnet_resnet50_local_model,205.9783
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_28,118.4291
model_explorer_xception_local_model,188.5939
model_explorer_Yogita98_Cardiac-Arrhythmia-Classification_GitHub,188.6015
model_explorer_Xception_89d4f901d47fbecc911f1426780a289f_KerasApps,188.5601
model_explorer_densenet_06def97e1342f0046b6bab6e90d872b6_TFHub,499.1836
model_explorer_yolov5m_leaky_416_local_model,174.3973
model_explorer_ACR-Loss_4e93bc740122b8c4fa1a02160a42912b_PINTO_28,369.1414
model_explorer_Inception-ResNetV2_82a41c9efa057769be65c30245feeb03_OpenVINO,139.2141
model_explorer_DenseNet201_71b6e7ff420ac17cb054113df285f2df_KerasApps,135.4631
model_explorer_yolox_m_416x416_ti_lite_local_model,88.32678
model_explorer_jumpnet_101_local_model,117.7179
model_explorer_AbdulAleem11_Medical-Diagnosis-Deployment_GitHub,60.68964
model_explorer_PoseNetResNet-50_e28dbcf225d1187d0d5188af72a3093a_Coral,71.19618
model_explorer_YOLOv7_7743fef1c7345875f488021f5d3c70d0_PINTO_7,67.5056
model_explorer_Surat-96_A-E2E-Covid19-Prediction_GitHub_1,60.69064
model_explorer_ResNet-50BodyPix_79654ed1a30a61fc1128541f0d3887c2_Coral,157.5694
model_explorer_HRNet_758ce51b9b2763b009130567e0cbef44_PINTO_2,71.8809
model_explorer_zakutnyaya_ros-eco-simulation_GitHub,42.57833
model_explorer_adcimon_mocap-vfx_GitHub,8.665828
model_explorer_centernet_resnetv1_fpn_local_model,42.09171
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_6,115.8521
model_explorer_centernet_resnet_512_local_model,42.34389
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_9,115.8471
model_explorer_EfficientNetV2B3_978ba9e4f25755763c3840677cd86000_KerasApps,335.3067
model_explorer_EPCDepth_e4bdcd94a6b22163f73c22e9545e32d2_PINTO,6.56028
model_explorer_quarrying_quarrying-celebrity-id_GitHub_2,57.27659
model_explorer_joncoons_Manufacturing-Vision-Accelerator-ARM64v8-v2-Jetpack-5-02_GitHub_10,115.8375
model_explorer_tranvuongquocdat_CV_Lab_Polyp_Segmentation_GitHub,66.16875
model_explorer_yolov5m_leaky_local_model,86.7395
model_explorer_PMN_1b7efe05bf702c8dbc674de90b374981_PINTO_10,38.21392
model_explorer_yolov5m_wo_spp_fa92bb05bcd3f32bff885c0093e6d766_Hailo,87.50183
model_explorer_ankurdave_bird-models_GitHub_2,13.93415
model_explorer_yolov5m_6.1_1119d0ed4df1992fce71b5da4216b543_Hailo,83.89534
model_explorer_PoseNetResNet-50_884891e4fa763ab7da01b7d6a17889da_Coral,116.3309
model_explorer_centerpose_regnetx_800mf_71318b852ef5c9996b983e8025b8fbf2_Hailo,14.86344
model_explorer_yolov5m_seg_d0af0dc8f8aeacc248e8d8692e229d9b_Hailo,29.82981
model_explorer_ResNet-50BodyPix_e2e8f6bb615decae2137620270606f03_Coral,116.8713
model_explorer_GuillaumeGuebin_OttawaGreenspacesComparisons_GitHub,46.95271
model_explorer_colornet_local_model,70.63046
model_explorer_RetinaFacewithResNet50_0ec588d020e8000f87e22bb84ae8be94_OpenVINO,31.11772
model_explorer_yolov5m_301e81c7f1180bc81c28e029f768cc0b_Hailo,86.83635
model_explorer_yolox_m_ti_lite_local_model,50.83342
model_explorer_YOLOv7_7743fef1c7345875f488021f5d3c70d0_PINTO_5,21.58924
model_explorer_teplandr_Visioneer_GitHub_3,53.52195
model_explorer_yolox_m_local_model,31.59134
model_explorer_F-Clip_2890da2ddc72dc249dcb837c5a167c11_PINTO_1,53.02758
model_explorer_yolov5s6_6.1_a5fe478896431cce0f722a851b28dba6_Hailo,25.30287
model_explorer_F-Clip_2890da2ddc72dc249dcb837c5a167c11_PINTO_2,52.97397
model_explorer_ResNet-50BodyPix_acbd898d80e8a23ffa46e787b5cd69b7_Coral,82.89837
model_explorer_yolov8m_e19e8923e02af82fdf63abd7401ee5fe_Hailo,34.12999
model_explorer_PoseNetResNet-50_e8be690f4d6aa1a6bf03cf2faa8677d4_Coral,29.1711
model_explorer_inferenceengine_shadernn_GitHub_2,18.09865
model_explorer_zetane_viewer_GitHub_1,18.09845
model_explorer_PoseNetResNet-50_229a4eeb60966f1621f5ec6e74946300_Coral,84.60868
model_explorer_yolov8m_local_model,30.43351
model_explorer_ResNet-50BodyPix_3297157132ce366c57fac7fc03cde825_Coral,55.3766
model_explorer_PoseNetResNet-50_dde09c6a962f94f5ce7c11016958b55f_Coral,38.82456
model_explorer_inferenceengine_shadernn_GitHub_6,18.10088
model_explorer_zetane_viewer_GitHub_13,25.7472
model_explorer_centerpose_regnetx_1.6gf_fpn_68cf72a8c6f7215ab147fb3de65e864f_Hailo,11.13092
model_explorer_yolov8m_seg_051b9bba349c82e88bca509744aa12fe_Hailo,21.02382
model_explorer_SSD_FPNMobileNetV1_1b6298677a798ba26fe0340734aef178_Coral,23.98191
model_explorer_pavveu7_intel-ai4y_GitHub,46.38601
model_explorer_PoseNetResNet-50_8cec86e5cfad14de1c483f58cb63cbb1_Coral,36.36937
model_explorer_ResNet-50BodyPix_25bfad96f9ab01f54b289b17cec1ae05_Coral,36.38478
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_38,11.95398
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_39,11.95318
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_11,48.45238
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_12,48.40558
model_explorer_Tartisan_MMDet3d-PointPillars_GitHub_1,2.166058
model_explorer_SSDwithResNet341200x1200_e0fe373c5642a180b66c7c70ef4d1419_OpenVINO,17.7123
model_explorer_onnx_models_GitHub_7,17.71255
model_explorer_zetane_viewer_GitHub_18,16.26816
model_explorer_onnx_models_GitHub_82,16.18674
model_explorer_WildMeOrg_scoutbot_GitHub_4,349.6643
model_explorer_lraspp_mobilenet_v3_large_local_model,134.7232
